EffectsizeID,StudyID,Age,Name_year,Article_num,Sample_Num,Items_num,g,vg,Grey_Lit,Design,Students,Retention_Interval,Intentionality,Transfer_Retention,Simultaneity,ZMean_within,ZMean_between,ZMean_complex,ZMean_fam,ZMean_cur,Spaced,Regression_Analysis,Regression_Analysis_With_Outlier,Regression_Analysis_IndependentStudies,Regression_Analysis_Students,Regression_Analysis_Visual,Regression_Analysis_Artifical,Regression_Analysis_RetentionInterval,Regression_Analysis_Simultaneity,Regression_Analysis_Age,Regression_Analysis_Spacing,Regression_Analysis_TransferRetention
71,42,20.8,Friedman (2013),33,3a,0,1.033503681,0.026918257,1,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,0
72,42,20.8,Friedman (2013),33,3b,0,1.102497847,0.028232242,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,1,0,0,1,1,1,0,1,0
73,43,32.6,Friedman (2013),33,4,0,0.275680256,0.017792365,1,1,0,0,0,1,0,-0.610527743,0.877911276,-0.070593164,-0.022322219,-0.409563684,-1,0,0,0,1,0,1,1,1,0,1,1
74,44,26,Hausman & Kornell (2014),18,1,4,0.484608235,0.079855099,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,0,1,1
75,45,32.50666667,Hausman & Kornell (2014),18,2,4,-0.258651031,0.050724439,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,1,1,1
76,45,32.50666667,Hausman & Kornell (2014),18,3,4,0,0.042754641,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,1,1,1
77,46,20.57384615,Higgins & Ross (2011),5,1a,1,0.635387445,0.101112427,0,0,1,0,0,0,1,0.245090198,-0.050201759,-0.222999203,-1.383775307,1.253756995,-1,0,0,1,0,0,0,0,0,1,1,0
78,46,20.57384615,Higgins & Ross (2011),5,1b,1,0.601293485,0.100585385,0,0,1,0,0,1,1,0.245090198,-0.050201759,-0.222999203,-1.383775307,1.253756995,-1,0,0,0,0,0,0,0,0,1,1,0
79,47,20.57384615,Higgins & Ross (2011),5,2,3,0.374900822,0.158298729,0,0,1,0,0,1,1,0.880368256,0.550300469,-1.723825559,0.842675557,-0.95880196,-1,0,0,0,0,0,1,0,0,1,1,1
80,48,20.57384615,Higgins & Ross (2011),5,3,3,0.258600075,0.156763799,0,0,1,0,0,1,0,0.880368256,0.550300469,-1.723825559,0.842675557,-0.95880196,-1,0,0,0,0,0,1,0,0,1,1,1
